Index,Date,Compound Score,Pos Text,Neg Text
0,2021-10-25,0.5719,I am Happy,
1,2021-10-25,0.5719,I am Happy,
2,2021-10-25,-0.4767,,I am Sad
3,2021-11-03,-0.4767,,I am Sad
4,2021-11-03,0.4404,good,
5,2021-11-03,0.4404,good,
6,2021-11-12,-0.4767,,Sad
7,2021-11-13,0.5719,I am Happy,
8,2021-11-13,0.5719,I am Happy,
9,2021-11-13,0.5719,I am Happy,
10,2021-11-13,0.5719,I am Happy,
11,2021-11-13,-0.4767,,I am Sad
12,2021-11-13,-0.4767,,I am Sad
13,2021-11-13,-0.4767,,I am Sad
14,2021-11-13,-0.5574,,I want to die
15,2021-11-13,0.0,,
16,2021-11-13,-0.5106,,depressed
17,2021-11-13,0.0,,
18,2021-11-13,0.0,,
19,2021-11-13,0.0,,
20,2021-11-13,0.0,,
21,2021-11-13,0.6115,fucking happy,
22,2021-11-13,0.0258,,
23,2021-11-13,0.1027,joyfully sad,
24,2021-11-13,-0.4767,,sad
25,2021-11-15,0.0,,
26,2021-11-18,0.0,,
27,2021-11-18,0.0,,
28,2021-11-18,0.0,,
29,2021-11-18,0.5719,i am happy,
30,2021-11-18,-0.6597,,i want to kill myself
31,2021-11-18,-0.6597,,i want to kill myself
32,2021-11-18,-0.6597,,i want to kill myself
33,2021-11-18,-0.6597,,i want to kill myself
34,2021-11-18,-0.6597,,i want to kill myself because of my family
35,2021-11-18,0.0,,
36,2021-11-18,0.5719,i am happy,
37,2021-11-18,-0.4767,,i did badly for my exams
38,2021-11-18,0.0,,
39,2021-11-18,0.0,,
40,2021-11-18,0.0,,
41,2021-11-18,0.5719,i am happy,
42,2021-11-18,0.0,,
43,2021-11-18,-0.4767,,i am sad
44,2021-11-18,0.0,,
45,2021-11-18,0.5719,i am happy,
46,2021-11-18,-0.4767,,i am sad
47,2021-11-18,0.5719,i am happy,
48,2021-11-19,0.5719,i am happy,
49,2021-11-19,-0.4767,,i am sad
50,2021-11-19,0.5719,i am happy,
51,2021-11-19,-0.4767,,i feel sad
52,2021-11-19,0.5719,i am happy,
53,2021-11-19,-0.4767,,i feel sad
54,2021-11-19,0.5719,i am happy,
55,2021-11-19,-0.4767,,i feel sad
56,2021-11-19,-0.6705,,i feel suicidal
57,2021-11-19,-0.4767,,i feel disappointed in myself
58,2021-11-19,-0.5106,,i am depressed
59,2021-11-19,-0.5106,,"i feel depressed, i cant do anything"
60,2021-11-19,0.0516,,
61,2021-11-19,0.5719,i am happy,
62,2021-11-19,0.5719,i am happy,
63,2021-11-19,0.5719,i am happy,
64,2021-11-19,0.6115,i am very happy,
65,2021-11-19,0.6115,i am very happy,
66,2021-11-19,0.6115,i am very happy,
67,2021-11-19,0.6115,i am very happy,
68,2021-11-19,0.6115,i am very happy,
69,2021-11-19,0.6115,i am very happy,
70,2021-11-19,0.6115,i am very happy,
71,2021-11-19,0.6115,i am very happy,
72,2021-11-19,0.8396,"i am very happy
i am very happy",
73,2021-11-19,0.5719,"i just won a competition, i am over the moon",
74,2021-11-19,0.7067,i just won a competition!!!!,
75,2021-11-19,0.5719,i am happy,
76,2021-11-19,-0.4767,,i feel sad
77,2021-11-19,0.5719,i am happy,
78,2021-11-19,-0.4767,,i feel sad
79,2021-11-23,-0.5106,,i am depressed
80,2021-11-23,0.0772,,
81,2021-11-23,-0.6597,,i want to kill my self
82,2021-11-23,-0.6908,,should i kill yu tuan
83,2021-11-23,0.0,,
84,2021-11-23,0.4019,am i smart,
85,2021-12-29,0.0,,
86,2021-12-29,0.0,,
87,2021-12-29,0.5574,laugh,
88,2021-12-29,0.5574,hahaha,
